,Peak Frequency,Lower Frequency Bound,Upper Frequency Bound,Frequency Span,Peak Time,Event Onset Time,Event Offset Time,Event Duration,Peak Power,Normalized Peak Power,Trial,Recording Time,Reaction Time,Reach Time,Grip Time,layout,position
868,7,6,9,3,1.2096048024012005,1.008504252126063,1.4767383691845921,0.46823414039999994,1605.6397587436884,3.319495650394875,179,3570.9077666666667,0.5297999999997955,0.6079333333336763,0.5367999999998574,4,3
869,8,6,9,3,1.36368184092046,1.1335667833916958,1.599799899949975,0.4662331398,1645.0326808152174,3.2740677785309233,179,3570.9077666666667,0.5297999999997955,0.6079333333336763,0.5367999999998574,4,3
870,8,6,9,3,1.3666833416708353,1.1335667833916958,1.599799899949975,0.4662331398,1645.0845110240266,3.2741709349110946,179,3570.9077666666667,0.5297999999997955,0.6079333333336763,0.5367999999998574,4,3
871,10,8,12,4,0.6623311655827914,0.527263631815908,0.8144072036018009,0.28714358609999996,2591.2074899754016,4.695412761329211,179,3570.9077666666667,0.5297999999997955,0.6079333333336763,0.5367999999998574,4,3
872,2,1,4,3,1.6628314157078539,1.009504752376188,2.0,1.3086543923999998,4798.945155985208,10.873151626137865,180,3583.6537,0.48420000000032815,0.2960666666663201,0.8136333333336552,1,2
873,3,1,8,7,1.938969484742371,1.636818409204602,2.0,0.6063031818,5214.141113339705,9.901814092716696,180,3583.6537,0.48420000000032815,0.2960666666663201,0.8136333333336552,1,2
874,6,4,7,3,0.9184592296148073,0.6903451725862931,1.487743871935968,0.7973987390999999,3059.7006936720813,6.65054566534801,180,3583.6537,0.48420000000032815,0.2960666666663201,0.8136333333336552,1,2
875,6,4,7,3,0.9224612306153076,0.6903451725862931,1.487743871935968,0.7973987390999999,3059.5578565876776,6.650235195583925,180,3583.6537,0.48420000000032815,0.2960666666663201,0.8136333333336552,1,2
876,8,5,10,5,1.552776388194097,1.426713356678339,2.0,0.25412707619999997,1854.2475019499286,3.6904628524140852,180,3583.6537,0.48420000000032815,0.2960666666663201,0.8136333333336552,1,2
877,9,4,11,7,0.8594297148574287,0.7113556778389194,1.0535267633816907,0.3421711026,2820.9200510581154,5.409214556000944,180,3583.6537,0.48420000000032815,0.2960666666663201,0.8136333333336552,1,2
878,4,2,8,6,1.1345672836418208,0.8744372186093046,1.3876938469234616,0.5132566539,4614.899830365608,8.918750303393338,181,3596.037766666667,2.0719999999996617,0.6581333333333532,0.4525000000003274,2,1
879,6,2,7,5,1.1775887943971985,0.9984992496248123,1.3676838419209605,0.36918461069999997,4822.270828728076,10.48165672657418,181,3596.037766666667,2.0719999999996617,0.6581333333333532,0.4525000000003274,2,1
880,9,2,11,9,1.3526763381690845,0.9804902451225612,1.5627813906953476,0.5822911745999999,2054.873270396548,3.940292600918267,181,3596.037766666667,2.0719999999996617,0.6581333333333532,0.4525000000003274,2,1
881,9,2,11,9,1.3546773386693345,0.9804902451225612,1.5627813906953476,0.5822911745999999,2054.868468558756,3.940283393223469,181,3596.037766666667,2.0719999999996617,0.6581333333333532,0.4525000000003274,2,1
882,9,7,11,4,1.8479239619809904,1.7068534267133566,1.9989994997498748,0.2921460876,2712.8920410994847,5.202067003660759,181,3596.037766666667,2.0719999999996617,0.6581333333333532,0.4525000000003274,2,1
883,10,8,13,5,0.6613306653326663,0.5252626313156578,0.8054027013506753,0.28014008399999996,2563.4164029138033,4.645053758684665,181,3596.037766666667,2.0719999999996617,0.6581333333333532,0.4525000000003274,2,1
884,10,2,12,10,1.1005502751375686,0.9814907453726863,1.295647823911956,0.3141570942,3966.5530196577974,7.187615711610553,181,3596.037766666667,2.0719999999996617,0.6581333333333532,0.4525000000003274,2,1
885,3,2,7,5,1.1735867933966984,0.8904452226113055,1.4697348674337167,0.5792896737,1626.2411149651537,3.088281816754154,182,3610.5264333333334,0.5154666666667254,0.3886333333330185,0.5480999999999767,4,4
886,4,3,5,2,0.3731865932966483,0.04902451225612806,0.7703851925962981,0.7213607163,3681.786022352441,7.115415590999671,182,3610.5264333333334,0.5154666666667254,0.3886333333330185,0.5480999999999767,4,4
887,6,3,7,4,0.8554277138569284,0.6233116558279139,1.1595797898949474,0.5362681608,1999.4112338343514,4.3459073437887925,182,3610.5264333333334,0.5154666666667254,0.3886333333330185,0.5480999999999767,4,4
