,Peak Frequency,Lower Frequency Bound,Upper Frequency Bound,Frequency Span,Peak Time,Event Onset Time,Event Offset Time,Event Duration,Peak Power,Normalized Peak Power,Trial,Recording Time,Reaction Time,Reach Time,Grip Time,layout,position
45,80,71,80,20,0.01700850425212606,0.0,0.030015007503751873,0.030015009,2565.6446187398665,3.3561615267655776,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
46,80,62,80,38,0.689344672336168,0.6773386693346672,0.704352176088044,0.027013508099999996,2922.9209907993136,3.823520570013444,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
47,80,71,80,20,0.785392696348174,0.7723861930965482,0.8014007003501751,0.029014508699999997,2514.404399874155,3.289133361631541,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
48,80,47,80,68,0.9714857428714356,0.961480740370185,0.9824912456228113,0.0210105063,3109.027084750326,4.066968983660765,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
49,80,58,80,46,1.0795397698849425,1.0665332666333165,1.0925462731365683,0.026013007799999998,4773.627534345556,6.244459952426395,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
50,80,71,80,20,1.2076038019009503,1.1925962981490745,1.2206103051525763,0.0280140084,2383.830931643171,3.1183280804588063,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
51,80,68,80,26,1.4527263631815908,1.4367183591795898,1.4697348674337167,0.0330165099,3003.425792437865,3.9288302126684362,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
52,80,74,80,14,1.5117558779389695,1.487743871935968,1.5267633816908452,0.039019511699999995,2662.068963683731,3.4822957833888184,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
53,80,70,80,22,1.6698349174587293,1.646823411705853,1.6908454227113556,0.044022013199999994,5976.5255522204525,7.817990447930934,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
54,80,56,80,50,1.7348674337168584,1.7238619309654826,1.7468734367183592,0.0230115069,4514.711554800683,5.90576774117224,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
55,80,56,80,50,1.9099549774887443,1.8989494747373685,1.919959979989995,0.0210105063,2611.0421021030675,3.415546714395495,1,38.91063333333334,0.43713333333332827,0.32713333333333594,0.5637333333333316,4,4
56,31,26,37,11,1.0675337668834417,1.024512256128064,1.1135567783891944,0.08904452669999999,9688.361798307737,11.668872488852273,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
57,34,28,44,16,0.024012006003001497,0.0,0.064032016008004,0.0820410246,6160.546655749977,7.421232310713258,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
58,38,31,45,14,0.7293646823411706,0.6993496748374186,0.7643821910955477,0.0650325195,3711.207114384388,4.6167870228131225,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
59,38,32,46,14,0.8594297148574287,0.818409204602301,0.8954477238619309,0.07703852309999999,2467.527951395544,3.0696349390678774,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
60,39,26,47,21,0.3801900950475237,0.352176088044022,0.47323661830915453,0.1210605363,16345.916712174914,20.63807051284056,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
61,41,32,67,35,0.4432216108054027,0.35517758879439715,0.47023511755877934,0.11505753449999999,18821.394870321892,24.580497374790088,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
62,41,11,49,38,0.5822911455727864,0.5572786393196598,0.6053026513256627,0.048024014399999995,8821.609718181364,11.520907776133983,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
63,43,11,50,39,0.2941470735367684,0.19909954977488742,0.6193096548274136,0.42021012599999996,2706.5679901152616,3.636805931612806,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
64,48,40,80,18,1.2016008004002001,1.1755877938969483,1.235617808904452,0.060030018,3911.777546469982,5.463534164523821,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
65,49,37,60,23,1.6578289144572285,1.630815407703852,1.6778389194597298,0.0470235141,3630.605183806775,5.073611349525839,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
66,53,46,63,17,0.6323161580790395,0.5832916458229114,0.6583291645822911,0.0750375225,3178.577488596282,4.328061670436002,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
67,54,44,65,21,0.1730865432716358,0.15207603801900949,0.19509754877438718,0.043021512899999996,5013.546713006304,6.742980866636621,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
68,54,30,64,34,0.705352676338169,0.6863431715857928,0.7243621810905452,0.0380190114,2893.7053847396573,3.8918955302368468,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
69,63,55,79,24,0.6823411705852926,0.6303151575787893,0.7073536768384192,0.07703852309999999,2768.0823781433287,3.566953589677458,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
70,64,55,74,19,1.343671835917959,1.3156578289144572,1.3676838419209605,0.052026015599999996,4467.592132031011,5.792165670216388,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
71,66,55,78,23,0.8564282141070535,0.8354177088544271,0.8774387193596798,0.0420210126,2546.422659978387,3.3122732715727765,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
72,67,53,80,30,1.0835417708854427,1.0675337668834417,1.1035517758879438,0.0360180108,2917.8635108301924,3.800722991891361,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
73,74,58,80,34,1.7928964482241119,1.779889944972486,1.8079039519759879,0.0280140084,2642.973531507919,3.4753721675193234,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
74,76,60,80,34,1.2596298149074536,1.2446223111555776,1.2786393196598298,0.034017010199999996,5602.362208842094,7.357549880920664,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
75,77,62,80,32,0.5782891445722861,0.5642821410705352,0.5942971485742871,0.030015009,2337.8783698209295,3.06294945756291,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
76,80,66,80,30,0.09904952476238119,0.08604302151075537,0.11305652826413205,0.027013508099999996,14881.496755261505,19.46672836366017,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
77,80,56,80,50,0.2741370685342671,0.2621310655327664,0.28714357178589295,0.0250125075,2461.1517117394574,3.2194726526584097,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
78,80,73,80,16,0.5172586293146573,0.5042521260630315,0.5392696348174086,0.035017510499999994,2516.998352536996,3.2925265533720065,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
79,80,64,80,34,1.2106053026513255,1.1975987993996997,1.2236118059029515,0.026013007799999998,4525.724133948498,5.920173475378918,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
80,80,71,80,20,1.3086543271635818,1.2446223111555776,1.3246623311655827,0.08004002399999999,4026.0493615246933,5.266540764575898,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
81,80,61,80,40,1.441720860430215,1.4307153576788394,1.4537268634317158,0.0230115069,2386.428949089955,3.1217265894093735,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
82,80,74,80,14,1.5947973986993496,1.5797898949474736,1.6138069034517257,0.034017010199999996,2430.191433435583,3.1789730081860377,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
83,80,66,80,30,1.743871935967984,1.7278639319659828,1.7578789394697347,0.030015009,4196.363049504587,5.489330874673227,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
84,80,67,80,28,1.938969484742371,1.923961980990495,1.9569784892446223,0.0330165099,6525.483473398913,8.536091248569981,2,51.314433333333334,0.5777333333333345,0.5610999999999962,0.5480666666666707,2,1
85,31,27,37,10,0.9474737368684342,0.8964482241120559,1.0045022511255628,0.10805403239999999,13825.756733309323,16.652040431753576,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
86,34,29,41,12,1.0455227613806903,0.8834417208604302,1.1075537768884443,0.2241120672,9730.683029476191,11.721956400777664,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
87,35,29,42,13,0.624312156078039,0.5532766383191595,0.656328164082041,0.1030515309,4598.739127331172,5.586895487741862,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
88,35,28,44,16,1.7318659329664832,1.697848924462231,1.7718859429714857,0.0740370222,2845.2705809064532,3.456649514080207,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
89,36,19,48,29,0.055027513756878435,0.031015507753876938,0.0850425212606303,0.05402701619999999,10365.087118120606,12.685092529112953,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
90,36,21,47,26,0.3231615807903952,0.28914457228614304,0.3491745872936468,0.060030018,3909.3961406173426,4.784431738155993,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
91,37,32,42,10,0.8434217108554276,0.8114057028514257,1.1245622811405702,0.3131565939,4053.1140615265226,5.006713845269027,3,63.8818,0.6122333333333358,0.21299999999999386,0.5957333333333423,3,2
