,Peak Frequency,Lower Frequency Bound,Upper Frequency Bound,Frequency Span,Peak Time,Event Onset Time,Event Offset Time,Event Duration,Peak Power,Normalized Peak Power,Trial,Recording Time,Reaction Time,Reach Time,Grip Time,layout,position
50,23,19,27,8,1.7898949474737367,1.7368684342171083,1.8479239619809904,0.1110555333,6333.229332608235,7.741313331679598,4,76.61566666666667,0.47409999999999286,0.3378666666666703,0.5712999999999937,1,3
51,29,23,35,12,0.10905452726363181,0.05302651325662831,0.14807403701850924,0.09504752849999999,4198.617151463589,5.183936674967158,4,76.61566666666667,0.47409999999999286,0.3378666666666703,0.5712999999999937,1,3
52,13,11,16,5,0.5702851425712856,0.19309654827413705,0.7183591795897949,0.5252626575,83217.50614852262,130.597349943392,5,117.23533333333333,1.015500000000003,0.49680000000000746,0.7047666666666572,1,4
53,14,11,16,5,0.35617808904452225,0.20210105052526262,0.6323161580790395,0.430215129,125438.51447117653,183.31811375303766,5,117.23533333333333,1.015500000000003,0.49680000000000746,0.7047666666666572,1,4
54,14,11,18,7,0.8504252126063031,0.12706353176588292,1.0175087543771886,0.8904452669999999,50939.88970770631,74.44447612738786,5,117.23533333333333,1.015500000000003,0.49680000000000746,0.7047666666666572,1,4
55,17,12,22,10,1.0455227613806903,0.992496248124062,1.106553276638319,0.11405703419999999,24323.986413889612,30.159775447475834,5,117.23533333333333,1.015500000000003,0.49680000000000746,0.7047666666666572,1,4
56,27,23,32,9,0.6703351675837919,0.6263131565782891,0.7573786893446722,0.13106553929999998,10023.177762901763,12.539340054628363,5,117.23533333333333,1.015500000000003,0.49680000000000746,0.7047666666666572,1,4
57,28,22,37,15,0.04202101050525262,0.002001000500250125,0.5002501250625312,0.4982491494,6645.031397723022,8.250764789001042,5,117.23533333333333,1.015500000000003,0.49680000000000746,0.7047666666666572,1,4
58,29,25,34,9,0.20910455227613806,0.1570785392696348,0.3171585792896448,0.16008004799999997,26667.572921837207,32.92584303707783,5,117.23533333333333,1.015500000000003,0.49680000000000746,0.7047666666666572,1,4
59,29,13,34,21,1.0855427713856927,1.0445222611305651,1.1255627813906952,0.0810405243,16145.397342891954,19.9343532402232,5,117.23533333333333,1.015500000000003,0.49680000000000746,0.7047666666666572,1,4
60,28,23,33,10,1.3546773386693345,1.3066533266633316,1.4017008504252124,0.09504752849999999,3460.722097313882,4.2969855695218175,6,187.87186666666668,0.8438666666666563,0.4533666666666534,0.5317333333333352,1,2
61,15,12,18,6,0.09904952476238119,0.016008004002001,0.18509254627313657,0.16908455069999997,19110.919496412276,25.87639978558143,7,214.7837,0.4937666666666587,0.46726666666666006,0.41686666666666383,3,4
62,16,14,19,5,1.0825412706353177,0.944472236118059,1.2756378189094546,0.33116559929999995,5239.368141712496,6.879934169365611,7,214.7837,0.4937666666666587,0.46726666666666006,0.41686666666666383,3,4
63,17,14,20,6,0.7753876938469234,0.6683341670835418,1.2776388194097048,0.6093046826999999,4256.282252837442,5.2774456786142645,7,214.7837,0.4937666666666587,0.46726666666666006,0.41686666666666383,3,4
